2025-03-12|09:24:10|Office chair|Staples|-120.00
2025-03-12|15:05:30|Client payment March|Acme Corp|2500.00
2025-03-13|11:45:20|Subscription renewal|Adobe|-29.99
2025-03-14|13:10:00|Lunch meeting with client|Starbucks|-18.75
2025-03-14|16:40:12|Freelance project payment|Upwork|875.00
2025-03-15|08:55:50|Taxi to airport|Uber|-37.20
2025-03-16|10:05:05|Laptop purchase|Best Buy|-1349.99
2025-03-17|14:23:18|April invoice paid|BlueTech|1600.00
2025-03-18|12:34:45|Monthly internet bill|Comcast|-89.99
2025-03-19|09:10:30|Software license|Microsoft|-199.99
2025-03-20|11:17:40|Consulting fee received|Jane Smith|1200.00
2025-03-21|14:48:15|Printer ink|Office Depot|-42.50
2025-03-22|17:20:00|Partial invoice payment|ClientCo|500.00
2025-03-23|10:31:25|Dinner meeting|Olive Garden|-64.25
2025-03-24|13:25:55|Online course refund|Coursera|99.00
2025-03-25|08:14:09|Airfare to conference|Delta Airlines|-410.70
2025-03-26|15:09:00|Deposit for March work|Tech Solutions|1800.00
2025-03-27|10:05:45|External hard drive|Amazon|-95.20
2025-03-28|16:44:33|Returned payment|Reimbursement|150.00
2025-03-29|11:30:00|Gas for client visit|Shell|-52.00
